SampleID,CollectDate,Year,Month,Locator,Nitrite_+_Nitrate_Nitrogen,Nitrite_+_Nitrate_Nitrogen_log,Nitrite_+_Nitrate_Nitrogen_units,Nitrite_+_Nitrate_Nitrogen_mdl,Nitrite_+_Nitrate_Nitrogen_rdl,Nitrite_+_Nitrate_Nitrogen_text,Nitrite_+_Nitrate_Nitrogen_orig,Ammonia_Nitrogen,Ammonia_Nitrogen_log,Ammonia_Nitrogen_units,Ammonia_Nitrogen_mdl,Ammonia_Nitrogen_rdl,Ammonia_Nitrogen_text,Ammonia_Nitrogen_orig,Total_Nitrogen,Total_Nitrogen_log,Total_Nitrogen_units,Total_Nitrogen_mdl,Total_Nitrogen_rdl,Total_Nitrogen_text,Total_Nitrogen_orig,Total_Suspended_Solids,Total_Suspended_Solids_log,Total_Suspended_Solids_units,Total_Suspended_Solids_mdl,Total_Suspended_Solids_rdl,Total_Suspended_Solids_text,Total_Suspended_Solids_orig,"Dissolved_Oxygen,_Field","Dissolved_Oxygen,_Field_log","Dissolved_Oxygen,_Field_units","Dissolved_Oxygen,_Field_mdl","Dissolved_Oxygen,_Field_rdl","Dissolved_Oxygen,_Field_text","Dissolved_Oxygen,_Field_orig","pH,_Field","pH,_Field_log","pH,_Field_units","pH,_Field_mdl","pH,_Field_rdl","pH,_Field_text","pH,_Field_orig",Orthophosphate_Phosphorus,Orthophosphate_Phosphorus_log,Orthophosphate_Phosphorus_units,Orthophosphate_Phosphorus_mdl,Orthophosphate_Phosphorus_rdl,Orthophosphate_Phosphorus_text,Orthophosphate_Phosphorus_orig,Temperature,Temperature_log,Temperature_units,Temperature_mdl,Temperature_rdl,Temperature_text,Temperature_orig,Fecal_Coliform,Fecal_Coliform_log,Fecal_Coliform_units,Fecal_Coliform_mdl,Fecal_Coliform_rdl,Fecal_Coliform_text,Fecal_Coliform_orig,Total_Alkalinity,Total_Alkalinity_log,Total_Alkalinity_units,Total_Alkalinity_mdl,Total_Alkalinity_rdl,Total_Alkalinity_text,Total_Alkalinity_orig,Turbidity,Turbidity_log,Turbidity_units,Turbidity_mdl,Turbidity_rdl,Turbidity_text,Turbidity_orig,Silica,Silica_log,Silica_units,Silica_mdl,Silica_rdl,Silica_text,Silica_orig,"Conductivity,_Field","Conductivity,_Field_log","Conductivity,_Field_units","Conductivity,_Field_mdl","Conductivity,_Field_rdl","Conductivity,_Field_text","Conductivity,_Field_orig",Total_Phosphorus,Total_Phosphorus_log,Total_Phosphorus_units,Total_Phosphorus_mdl,Total_Phosphorus_rdl,Total_Phosphorus_text,Total_Phosphorus_orig,Storm_Or_Non-Storm,Storm_Or_Non-Storm_log,Storm_Or_Non-Storm_units,Storm_Or_Non-Storm_mdl,Storm_Or_Non-Storm_rdl,Storm_Or_Non-Storm_text,Storm_Or_Non-Storm_orig,pH,pH_log,pH_units,pH_mdl,pH_rdl,pH_text,pH_orig,Enterococcus,Enterococcus_log,Enterococcus_units,Enterococcus_mdl,Enterococcus_rdl,Enterococcus_text,Enterococcus_orig,Conductivity,Conductivity_log,Conductivity_units,Conductivity_mdl,Conductivity_rdl,Conductivity_text,Conductivity_orig,Dissolved_Oxygen,Dissolved_Oxygen_log,Dissolved_Oxygen_units,Dissolved_Oxygen_mdl,Dissolved_Oxygen_rdl,Dissolved_Oxygen_text,Dissolved_Oxygen_orig,E._coli,E._coli_log,E._coli_units,E._coli_mdl,E._coli_rdl,E._coli_text,E._coli_orig
L64995-9,2016-03-15T19:08:00Z,2016,3,0631,0.734,-0.3092462503676215,mg/L,0.01,0.04,,0.734,0.0083,-4.7914997641795845,mg/L,0.002,0.01,,0.0083,0.869,-0.140412153716745,mg/L,0.05,0.1,,0.869,3.9,1.3609765531356006,mg/L,0.5,1,,3.9,11.9,2.4765384001174837,mg/L,0.5,1,,11.9,7.19,1.9726911717329554,pH,NA,NA,,7.19,0.0064,-5.051457288616511,mg/L,5e-4,0.002,,0.0064,7.4,2.0014800002101243,deg C,NA,NA,,7.4,12,2.4849066497880004,CFU/100ml,NA,NA,,12,28.5,3.349904087274605,mg CaCO3/L,1,5,,28.5,2.46,0.9001613499442714,NTU,0.2,0.5,,2.46,0,0,,NA,NA,,0,80.5,4.388257184424518,umhos/cm,0.5,10,,80.5,0.018,-4.017383521085972,mg/L,0.005,0.01,,0.018,NA,NA,none,NA,NA,N,NA,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0
L3638-5,1994-05-17T17:25:00Z,1994,5,A319,0.5556296,-0.5876533937831092,mg/L,0.05,0.1,,0.568,0.053,-2.9374633654300153,mg/L,0.02,0.04,,0.053,0.5202954328616262,-0.6533584886186466,mg/L,0.05,0.1,,0.515,2.6,0.9555114450274363,mg/L,0.5,1,,2.6,0,0,,NA,NA,,0,7.14,1.965712776351493,pH,NA,NA,,7.14,0.06958953752121858,-2.665141045912391,mg/L,0.002,0.005,,0.0709,11.3,2.424802725718295,deg C,NA,NA,,11.3,520,6.253828811575473,CFU/100ml,NA,NA,,520,0,0,,NA,NA,,0,0.9,-0.10536051565782628,NTU,0.5,1,,0.9,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0.012099735229030661,-4.414571708517147,mg/L,0.005,0.01,,0.015,NA,NA,none,NA,NA,N,NA,0,0,,NA,NA,,0,320,5.768320995793772,CFU/100ml,NA,NA,,320,72,4.276666119016055,umhos/cm,0.5,1,,72,11,2.3978952727983707,mg/L,0.5,1,,11,0,0,,NA,NA,,0
L6948-2,1995-09-19T16:45:00Z,1995,9,A319,0.2105858,-1.5578621079562835,mg/L,0.05,0.1,,0.214,0.02,-3.912023005428146,mg/L,0.02,0.04,,NA,0.353674027355132,-1.0393796167501113,mg/L,0.05,0.1,,0.349,4.2,1.4350845252893227,mg/L,0.5,1,,4.2,0,0,,NA,NA,,0,7.25,1.9810014688665833,pH,NA,NA,,7.25,0.007550577549550304,-4.886131222017743,mg/L,0.002,0.005,,0.0057,15.5,2.740840023925201,deg C,NA,10,,15.5,32,3.4657359027997265,CFU/100ml,NA,NA,,32,0,0,,NA,NA,,0,0.6,-0.5108256237659907,NTU,0.5,1,,0.6,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0.019566738340125647,-3.9339241777841156,mg/L,0.005,0.01,,0.0221,NA,NA,none,NA,NA,N,NA,0,0,,NA,NA,,0,15,2.70805020110221,CFU/100ml,NA,NA,,15,88.9,4.487512142519859,umhos/cm,0.5,1,,88.9,9.9,2.2925347571405443,mg/L,0.5,1,,9.9,0,0,,NA,NA,,0
9106131,1991-02-27T08:00:00Z,1991,2,A319,0.538085,-0.6197387387348077,mg/L,NA,NA,.550||King County Nstream Database/B53311,0.55,0.021,-3.863232841258714,mg/L,NA,NA,.021||King County Nstream Database/B53311,0.021,0,0,,NA,NA,,0,25.1,3.2228678461377385,mg/L,NA,NA,25.14||King County Nstream Database/B53311,25.1,0,0,,NA,NA,,0,6.7,1.9021075263969205,pH,NA,NA,6.7||King County Nstream Database/B53311,6.7,0.017018794646987488,-4.07343697814572,mg/L,NA,NA,.015||King County Nstream Database/B53311,0.015,6.2,1.824549292051046,deg C,NA,NA,6.2||King County Nstream Database/B53311,6.2,260,5.560681631015528,ORG/100ml,NA,NA,260||King County Nstream Database/B53311,260,0,0,,NA,NA,,0,12,2.4849066497880004,NTU,NA,NA,12.0||King County Nstream Database/B53311,12,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0.04566790788223677,-3.0863594622884936,mg/L,NA,NA,.052||King County Nstream Database/B53311,0.052,NA,NA,none,NA,NA,N||King County Nstream Database/B53311,NA,6.7,1.9021075263969205,pH,NA,NA,6.7||King County Nstream Database/B53311,6.7,6,1.791759469228055,ORG/100g,NA,NA,6||King County Nstream Database/B53311,6,52,3.9512437185814275,umhos/cm,NA,NA,52||King County Nstream Database/B53311,52,11.6,2.451005098112319,mg/L,NA,NA,11.60||King County Nstream Database/B53311,11.6,0,0,,NA,NA,,0
L47949-7,2009-05-04T16:32:00Z,2009,5,0438,0.211,-1.5558971455060706,mg/L,0.01,0.04,,0.211,0.0063,-5.06720564558465,mg/L,0.005,0.01,,0.0063,0.216,-1.5324768712979722,mg/L,0.05,0.1,,0.216,1.5,0.4054651081081644,mg/L,0.5,1,,1.5,11.2,2.4159137783010487,mg/L,0.5,1,,11.2,7.36,1.9960599327407849,pH,NA,NA,,7.36,0.004,-5.521460917862246,mg/L,0.002,0.005,,0.004,9.53,2.254444717666111,deg C,NA,NA,,9.53,36,3.58351893845611,CFU/100ml,NA,NA,,36,27,3.295836866004329,mg CaCO3/L,1,5,,27,0,0,,NA,NA,,0,0,0,,NA,NA,,0,83.1,4.420044701861403,umhos/cm,0.5,10,,83.1,0.0086,-4.755993075722675,mg/L,0.005,0.01,,0.0086,NA,NA,none,NA,NA,N,NA,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0
L72755-4,2019-08-14T17:06:00Z,2019,8,0438,0.13,-2.0402208285265546,mg/L,0.01,0.04,,0.13,0.0068,-4.990832666800076,mg/L,0.002,0.01,,0.0068,0.211,-1.5558971455060706,mg/L,0.05,0.1,,0.211,2,0.6931471805599453,mg/L,0.5,1,,2,11.4,2.4336133554004498,mg/L,0.5,1,,11.4,8.13,2.0955609235597192,pH,NA,NA,,8.13,0.00402,-5.5164733763512075,mg/L,5e-4,0.002,,0.00402,16.7,2.8154087194227095,deg C,NA,NA,,16.7,100,4.605170185988092,CFU/100ml,NA,NA,,100,40,3.6888794541139363,mg CaCO3/L,1,5,,40,0.73,-0.31471074483970024,NTU,0.2,0.5,,0.73,12.8,2.5494451709255714,mg/L,0.2,0.5,,12.8,95.8,4.562262684976814,umhos/cm,0.5,10,,95.8,0.0143,-4.247495741716276,mg/L,0.005,0.01,,0.0143,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,110,4.700480365792417,CFU/100ml,NA,NA,,110
L23321-7,2002-02-12T18:19:00Z,2002,2,0631,1.130958,0.12306506116593721,mg/L,0.02,0.04,,1.18,0.011,-4.509860006183766,mg/L,0.01,0.02,,0.011,1.3336420325958975,0.28791357010105545,mg/L,0.05,0.1,,1.33,6.1,1.8082887711792655,mg/L,0.5,1,,6.1,12.6,2.533696813957432,mg/L,NA,NA,,12.6,7,1.9459101490553132,pH,NA,NA,,7,0.011537300786046836,-4.462169945950398,mg/L,0.002,0.005,,0.00841,4.1,1.410986973710262,deg C,NA,NA,,4.1,17,2.833213344056216,CFU/100ml,NA,NA,,17,29,3.367295829986474,mg CaCO3/L,0.2,10,,29,3.2,1.1631508098056809,NTU,0.5,2,,3.2,0,0,,NA,NA,,0,88.8,4.486386649998124,umhos/cm,NA,NA,,88.8,0.021013819685786944,-3.8625749774230185,mg/L,0.005,0.01,,0.0194,NA,NA,none,NA,NA,N,NA,0,0,,NA,NA,,0,13,2.5649493574615367,CFU/100ml,NA,NA,,13,0,0,,NA,NA,,0,0,0,,NA,NA,,0,20,2.995732273553991,CFU/100ml,NA,NA,,20
L74992-3,2020-07-15T17:02:00Z,2020,7,A319,0.204,-1.5896352851379207,mg/L,0.01,0.04,,0.204,0.0086,-4.755993075722675,mg/L,0.002,0.01,,0.0086,0.276,-1.287354413264987,mg/L,0.05,0.1,,0.276,1.4,0.3364722366212129,mg/L,0.5,1,,1.4,9.97,2.299580583973747,mg/L,0.5,1,,9.97,7.26,1.9823798288367047,pH,NA,NA,,7.26,0.00531,-5.23816344372829,mg/L,5e-4,0.002,,0.00531,14,2.6390573296152584,deg C,NA,NA,,14,21,3.044522437723423,CFU/100ml,NA,NA,,21,29,3.367295829986474,mg CaCO3/L,1,5,,29,0.72,-0.3285040669720361,NTU,0.2,0.5,,0.72,13.6,2.6100697927420065,mg/L,0.2,0.5,,13.6,73.4,4.29592393562047,umhos/cm,0.5,10,,73.4,0.0155,-4.166915255056936,mg/L,0.005,0.01,,0.0155,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0
L29851-3,2003-10-14T19:04:00Z,2003,10,0631,0.6928653,-0.3669196709793487,mg/L,0.02,0.04,,0.713,0.107,-2.234926444520231,mg/L,0.01,0.02,,0.107,1.0249396451247395,0.024633728051578832,mg/L,0.05,0.1,,1.02,7.8,2.0541237336955462,mg/L,0.5,1,,7.8,10.2,2.3223877202902252,mg/L,NA,NA,,10.2,7,1.9459101490553132,pH,NA,NA,,7,0.02995439509729026,-3.508079217364374,mg/L,0.002,0.005,,0.0289,11.4,2.4336133554004498,deg C,NA,NA,,11.4,270,5.598421958998375,CFU/100ml,NA,NA,,270,57.4,4.050044303325521,mg CaCO3/L,1,10,,57.4,3.06,1.1184149159642893,NTU,0.5,2,,3.06,20.9,3.039749158970765,mg/L,0.5,1,,20.9,142,4.955827057601261,umhos/cm,NA,NA,,142,0.06476330733598537,-2.7370160808160886,mg/L,0.005,0.01,,0.0578,NA,NA,none,NA,NA,N,NA,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0,0,,NA,NA,,0,210,5.3471075307174685,CFU/100ml,NA,NA,,210
7915079,1979-01-31T08:00:00Z,1979,1,0631,1.52496,0.42196818020717874,mg/L,NA,NA,1.600||King County Nstream Database/RS2,1.6,0.014,-4.268697949366879,mg/L,NA,NA,.014||King County Nstream Database/RS2,0.014,0,0,,NA,NA,,0,22,3.091042453358316,mg/L,NA,NA,22.00||King County Nstream Database/RS2,22,0,0,,NA,NA,,0,7.3,1.9878743481543455,pH,NA,NA,7.3||King County Nstream Database/RS2,7.3,0.01991548788991701,-3.9162575640336517,mg/L,NA,NA,.018||King County Nstream Database/RS2,0.018,2.4,0.8754687373538999,deg C,NA,NA,2.4||King County Nstream Database/RS2,2.4,360,5.886104031450156,ORG/100ml,NA,NA,360||King County Nstream Database/RS2,360,0,0,,NA,NA,,0,6.1,1.8082887711792655,NTU,NA,NA,6.1||King County Nstream Database/RS2,6.1,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0.030601242431758338,-3.4867146685030113,mg/L,NA,NA,.036||King County Nstream Database/RS2,0.036,0,0,,NA,NA,,0,7.3,1.9878743481543455,pH,NA,NA,7.3||King County Nstream Database/RS2,7.3,0,0,,NA,NA,,0,100,4.605170185988092,umhos/cm,NA,NA,100||King County Nstream Database/RS2,100,11.1,2.4069451083182885,mg/L,NA,NA,11.10||King County Nstream Database/RS2,11.1,0,0,,NA,NA,,0
8015824,1980-11-13T08:00:00Z,1980,11,0631,0,0,,NA,NA,,0,0.037,-3.2968373663379125,mg/L,NA,NA,.037||King County Nstream Database/RS2,0.037,0,0,,NA,NA,,0,7.3,1.9878743481543455,mg/L,NA,NA,7.30||King County Nstream Database/RS2,7.3,0,0,,NA,NA,,0,7.1,1.9600947840472698,pH,NA,NA,7.1||King County Nstream Database/RS2,7.1,0.017992535184535398,-4.0177983190730195,mg/L,NA,NA,.016||King County Nstream Database/RS2,0.016,5.1,1.62924053973028,deg C,NA,NA,5.1||King County Nstream Database/RS2,5.1,58,4.060443010546419,ORG/100ml,NA,NA,58||King County Nstream Database/RS2,58,0,0,,NA,NA,,0,3.2,1.1631508098056809,NTU,NA,NA,3.2||King County Nstream Database/RS2,3.2,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0.0680429602637729,-2.687616004702894,mg/L,NA,NA,.075||King County Nstream Database/RS2,0.075,0,0,,NA,NA,,0,7.1,1.9600947840472698,pH,NA,NA,7.1||King County Nstream Database/RS2,7.1,0,0,,NA,NA,,0,100,4.605170185988092,umhos/cm,NA,NA,100||King County Nstream Database/RS2,100,11.9,2.4765384001174837,mg/L,NA,NA,11.86||King County Nstream Database/RS2,11.9,0,0,,NA,NA,,0
8015543,1980-08-06T07:00:00Z,1980,8,0438,0.2047376,-1.5860261197434513,mg/L,NA,NA,.208||King County Nstream Database/RVL,0.208,0.013,-4.3428059215206005,mg/L,NA,NA,.013||King County Nstream Database/RVL,0.013,0,0,,NA,NA,,0,1,0,mg/L,NA,NA,1.00||King County Nstream Database/RVL,1,0,0,,NA,NA,,0,7.8,2.0541237336955462,pH,NA,NA,7.8||King County Nstream Database/RVL,7.8,0,0,,NA,NA,,0,13.2,2.580216829592325,deg C,NA,NA,13.2||King County Nstream Database/RVL,13.2,1600,7.3777589082278725,ORG/100ml,NA,NA,1600||King County Nstream Database/RVL,1600,0,0,,NA,NA,,0,0.8,-0.2231435513142097,NTU,NA,NA,.8||King County Nstream Database/RVL,0.8,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0.017287671737670842,-4.05776164782971,mg/L,NA,NA,.020||King County Nstream Database/RVL,0.02,0,0,,NA,NA,,0,7.8,2.0541237336955462,pH,NA,NA,7.8||King County Nstream Database/RVL,7.8,0,0,,NA,NA,,0,94,4.543294782270004,umhos/cm,NA,NA,94||King County Nstream Database/RVL,94,11.1,2.4069451083182885,mg/L,NA,NA,11.10||King County Nstream Database/RVL,11.1,0,0,,NA,NA,,0
L17474-7,2000-03-14T18:38:00Z,2000,3,0631,1.0371480000000002,0.036474638446783336,mg/L,0.02,0.04,,1.08,0.014,-4.268697949366879,mg/L,0.01,0.02,,0.014,1.3336420325958975,0.28791357010105545,mg/L,0.05,0.1,,1.33,11.1,2.4069451083182885,mg/L,0.5,1,,11.1,11.8,2.468099531471619,mg/L,NA,NA,,11.8,7.33,1.9919755158985601,pH,NA,NA,,7.33,0.010714711280975692,-4.536137595732209,mg/L,0.002,0.005,,0.00877,8.1,2.0918640616783932,deg C,NA,NA,,8.1,52,3.9512437185814275,CFU/100ml,NA,NA,,52,33.4,3.5085558999826545,mg CaCO3/L,0.2,1,,33.4,7.3,1.9878743481543455,NTU,0.5,1,,7.3,0,0,,NA,NA,,0,100,4.605170185988092,umhos/cm,NA,NA,,100,0.0337303682747067,-3.3893567116549095,mg/L,0.005,0.01,,0.0307,NA,NA,none,NA,NA,N,NA,0,0,,NA,NA,,0,75,4.31748811353631,CFU/100ml,NA,NA,,75,81.3,4.398146016553765,umhos/cm,0.5,1,,81.3,0,0,,NA,NA,,0,68,4.219507705176107,CFU/100ml,NA,NA,,68
L25699-2,2002-09-10T17:27:00Z,2002,9,A319,0.21643400000000002,-1.5304696279002907,mg/L,0.02,0.04,,0.22,0.01,-4.605170185988091,mg/L,0.01,0.02,,NA,0.3184710542907632,-1.144223689447561,mg/L,0.05,0.1,,0.314,1.2,0.1823215567939546,mg/L,0.5,1,,1.2,10.5,2.3513752571634776,mg/L,NA,NA,,10.5,7,1.9459101490553132,pH,NA,NA,,7,0.002941079968442204,-5.828978428878141,mg/L,0.002,0.005,,0.0024,14.1,2.6461747973841225,deg C,NA,NA,,14.1,140,4.941642422609304,CFU/100ml,NA,NA,,140,33.8,3.520460802488973,mg CaCO3/L,0.2,10,,33.8,0.65,-0.4307829160924542,NTU,0.5,2,,0.65,11.5,2.4423470353692043,mg/L,0.05,0.1,,11.5,103,4.634728988229636,umhos/cm,NA,NA,,103,0.010721035996397541,-4.5355474865539716,mg/L,0.005,0.01,,0.0101,NA,NA,none,NA,NA,N,NA,0,0,,NA,NA,,0,27,3.295836866004329,CFU/100ml,NA,NA,,27,0,0,,NA,NA,,0,0,0,,NA,NA,,0,110,4.700480365792417,CFU/100ml,NA,NA,,110
L25791-6,2002-11-12T19:54:00Z,2002,11,0631,0.46400779999999997,-0.7678539165523466,mg/L,0.02,0.04,,0.474,0.0236,-3.7465085669505727,mg/L,0.01,0.02,,0.0236,0.7224813089408426,-0.325063729308256,mg/L,0.05,0.1,,0.717,18.4,2.91235066461494,mg/L,0.5,1,,18.4,10.7,2.3702437414678603,mg/L,NA,NA,,10.7,6.9,1.9315214116032138,pH,NA,NA,,6.9,0.01962900458714516,-3.9307469807342037,mg/L,0.002,0.005,,0.0177,10.3,2.33214389523559,deg C,NA,NA,,10.3,610,6.413458957167357,CFU/100ml,NA,NA,,610,44,3.784189633918261,mg CaCO3/L,0.2,10,,44,11.1,2.4069451083182885,NTU,0.5,2,,11.1,12.2,2.501435951739211,mg/L,0.05,0.1,,12.2,116,4.7535901911063645,umhos/cm,NA,NA,,116,0.06661242474156065,-2.708864161154423,mg/L,0.005,0.01,,0.0594,NA,NA,none,NA,NA,S,NA,0,0,,NA,NA,,0,2500,7.824046010856292,CFU/100ml,NA,NA,,2500,0,0,,NA,NA,,0,0,0,,NA,NA,,0,560,6.327936783729195,CFU/100ml,NA,NA,,560
8700653,1987-02-18T08:00:00Z,1987,2,0631,1.046529,0.0454789739389789,mg/L,NA,NA,1.090||King County Nstream Database/B53311,1.09,0.019,-3.9633162998156966,mg/L,NA,NA,.019||King County Nstream Database/B53311,0.019,0,0,,NA,NA,,0,6.67,1.8976198599275322,mg/L,NA,NA,6.67||King County Nstream Database/B53311,6.67,0,0,,NA,NA,,0,7.1,1.9600947840472698,pH,NA,NA,7.1||King County Nstream Database/B53311,7.1,0.014040503295997524,-4.2658090337337,mg/L,NA,NA,.012||King County Nstream Database/B53311,0.012,6,1.791759469228055,deg C,NA,NA,6.0||King County Nstream Database/B53311,6,30,3.4011973816621555,ORG/100ml,NA,NA,30||King County Nstream Database/B53311,30,0,0,,NA,NA,,0,1.5,0.4054651081081644,NTU,NA,NA,1.5||King County Nstream Database/B53311,1.5,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0.026003731021743613,-3.6495152504196224,mg/L,NA,NA,.031||King County Nstream Database/B53311,0.031,NA,NA,none,NA,NA,N||King County Nstream Database/B53311,NA,7.1,1.9600947840472698,pH,NA,NA,7.1||King County Nstream Database/B53311,7.1,0,0,,NA,NA,,0,91,4.51085950651685,umhos/cm,NA,NA,91||King County Nstream Database/B53311,91,12.1,2.4932054526026954,mg/L,NA,NA,12.11||King County Nstream Database/B53311,12.1,0,0,,NA,NA,,0
L19752-2,2001-02-13T17:37:00Z,2001,2,A319,0.4367162,-0.8284717227738218,mg/L,0.02,0.04,,0.446,0.01,-4.605170185988091,mg/L,0.01,0.02,,NA,0.4982410319244259,-0.6966713191993863,mg/L,0.05,0.1,,0.493,1.1,0.09531017980432493,mg/L,0.5,1,,1.1,13.1,2.5726122302071057,mg/L,NA,NA,,13.1,7.4,2.0014800002101243,pH,NA,NA,,7.4,0.011552254805677179,-4.460874639796776,mg/L,0.002,0.005,,0.00842,3.01,1.1019400787607843,deg C,NA,NA,,3.01,0,-Inf,CFU/100ml,NA,NA,,0,26.1,3.261935314328648,mg CaCO3/L,0.2,10,,26.1,1.3,0.26236426446749106,NTU,0.5,1,,1.3,0,0,,NA,NA,,0,66.8,4.2017030805426,umhos/cm,NA,NA,,66.8,0.012366238115299884,-4.3927852523866475,mg/L,0.005,0.01,,0.0116,NA,NA,none,NA,NA,N,NA,0,0,,NA,NA,,0,0,-Inf,CFU/100ml,NA,NA,,0,62.6,4.136765278106052,umhos/cm,0.5,10,,62.6,0,0,,NA,NA,,0,1,0,CFU/100ml,NA,NA,,1
L18591-2,2000-09-12T16:49:00Z,2000,9,A319,0.38603180000000004,-0.9518355294909445,mg/L,0.02,0.04,,0.394,0.01,-4.605170185988091,mg/L,0.01,0.02,,0.01,0.5313198220650941,-0.632391137610057,mg/L,0.05,0.1,,0.526,1.8,0.5877866649021191,mg/L,0.5,1,,1.8,9.6,2.2617630984737906,mg/L,NA,NA,,9.6,7.21,1.9754689512968577,pH,NA,NA,,7.21,0.008932071134715133,-4.718106981006031,mg/L,0.002,0.005,,0.00665,13.1,2.5726122302071057,deg C,NA,NA,,13.1,38,3.6375861597263857,CFU/100ml,NA,NA,,38,34.4,3.5380565643793527,mg CaCO3/L,0.2,10,,34.4,1.2,0.1823215567939546,NTU,0.5,1,,1.2,0,0,,NA,NA,,0,86.9,4.464758032271346,umhos/cm,NA,NA,,86.9,0.013907754440279496,-4.275308720997605,mg/L,0.005,0.01,,0.013,NA,NA,none,NA,NA,N,NA,0,0,,NA,NA,,0,32,3.4657359027997265,CFU/100ml,NA,NA,,32,82.8,4.416428061391214,umhos/cm,0.5,10,,82.8,0,0,,NA,NA,,0,41,3.713572066704308,CFU/100ml,NA,NA,,41
8115064,1981-01-22T08:00:00Z,1981,1,0438,0.32072690000000004,-1.1371652967860202,mg/L,NA,NA,.327||King County Nstream Database/RS3,0.327,0.023,-3.7722610630529876,mg/L,NA,NA,.023||King County Nstream Database/RS3,0.023,0,0,,NA,NA,,0,5,1.6094379124341003,mg/L,NA,NA,5.00||King County Nstream Database/RS3,5,0,0,,NA,NA,,0,7.2,1.9740810260220096,pH,NA,NA,7.2||King County Nstream Database/RS3,7.2,0.015043576110066292,-4.196804215448344,mg/L,NA,NA,.013||King County Nstream Database/RS3,0.013,9,2.1972245773362196,deg C,NA,NA,9.0||King County Nstream Database/RS3,9,19,2.9444389791664403,ORG/100ml,NA,NA,19||King County Nstream Database/RS3,19,0,0,,NA,NA,,0,3,1.0986122886681098,NTU,NA,NA,3.0||King County Nstream Database/RS3,3,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0.017287671737670842,-4.05776164782971,mg/L,NA,NA,.020||King County Nstream Database/RS3,0.02,0,0,,NA,NA,,0,7.2,1.9740810260220096,pH,NA,NA,7.2||King County Nstream Database/RS3,7.2,0,0,,NA,NA,,0,6,1.791759469228055,umhos/cm,NA,NA,6||King County Nstream Database/RS3,6,11.1,2.4069451083182885,mg/L,NA,NA,11.12||King County Nstream Database/RS3,11.1,0,0,,NA,NA,,0
8315464,1983-09-22T07:00:00Z,1983,9,A319,0.1638002,-1.8091078865626924,mg/L,NA,NA,.166||King County Nstream Database/RS4,0.166,0.001,-6.907755278982137,mg/L,NA,NA,.001||King County Nstream Database/RS4,0.001,0,0,,NA,NA,,0,2.34,0.85015092936961,mg/L,NA,NA,2.34||King County Nstream Database/RS4,2.34,0,0,,NA,NA,,0,7.5,2.0149030205422647,pH,NA,NA,7.5||King County Nstream Database/RS4,7.5,0.0051324174192422115,-5.2721784989732114,mg/L,NA,NA,.004||King County Nstream Database/RS4,0.004,12.9,2.5572273113676265,deg C,NA,NA,12.9||King County Nstream Database/RS4,12.9,29,3.367295829986474,ORG/100ml,NA,NA,29||King County Nstream Database/RS4,29,0,0,,NA,NA,,0,0.8,-0.2231435513142097,NTU,NA,NA,.8||King County Nstream Database/RS4,0.8,0,0,,NA,NA,,0,0,0,,NA,NA,,0,0.0038834137130023443,-5.5510406892255375,mg/L,NA,NA,.006||King County Nstream Database/RS4,0.006,0,0,,NA,NA,,0,7.5,2.0149030205422647,pH,NA,NA,7.5||King County Nstream Database/RS4,7.5,0,0,,NA,NA,,0,62,4.127134385045092,umhos/cm,NA,NA,62||King County Nstream Database/RS4,62,10.4,2.341805806147327,mg/L,NA,NA,10.45||King County Nstream Database/RS4,10.4,0,0,,NA,NA,,0
