SITE_CODE,Date,AveQ,
40d,12/20/1995,6.81,
40d,12/21/1995,6.5,
40d,12/22/1995,6.3,
40d,12/23/1995,6.21,
40d,12/24/1995,6.3,
40d,12/25/1995,6.23,
40d,12/26/1995,6.09,
40d,12/27/1995,6.08,
40d,12/28/1995,6.34,
40d,12/29/1995,7.25,
40d,12/30/1995,8.23,
40d,12/31/1995,7.76,
40d,1/1/1996,7.49,
40d,1/2/1996,7.55,
40d,1/3/1996,8.12,
40d,1/4/1996,7.7,
40d,1/5/1996,7.66,
40d,1/6/1996,8.29,
40d,1/7/1996,12.12,
40d,1/8/1996,11.82,
40d,1/9/1996,10.86,
40d,1/10/1996,9.75,
40d,1/11/1996,9.31,
40d,1/12/1996,9.07,
40d,1/13/1996,8.94,
40d,1/14/1996,11.48,
40d,1/15/1996,13.19,
40d,1/16/1996,13.93,
40d,1/17/1996,12.51,
40d,1/18/1996,11.18,
40d,1/19/1996,11.48,
40d,1/20/1996,12.57,
40d,1/21/1996,14.17,
40d,1/22/1996,14.17,
40d,1/23/1996,13.08,
40d,1/24/1996,13.92,
40d,1/25/1996,13.06,
40d,1/26/1996,12.49,
40d,1/27/1996,12,
40d,1/28/1996,12,
40d,1/29/1996,11.15,
40d,1/30/1996,11,
40d,1/31/1996,10.85,
40d,2/1/1996,10.28,
40d,2/2/1996,10,
40d,2/3/1996,9.99,
40d,2/4/1996,10.49,
40d,2/5/1996,11.54,
40d,2/6/1996,14.72,
40d,2/7/1996,17.56,
40d,2/8/1996,43.24,
40d,2/9/1996,66.98,
40d,2/10/1996,33.16,
40d,2/11/1996,25.98,
40d,2/12/1996,22.7,
40d,2/13/1996,21.36,
40d,2/14/1996,20.15,
40d,2/15/1996,19.65,
40d,2/16/1996,18.52,
40d,2/17/1996,18.72,
40d,2/18/1996,19.68,
40d,2/19/1996,19.16,
40d,2/20/1996,18.42,
40d,2/21/1996,17.79,
40d,2/22/1996,17.11,
40d,2/23/1996,16.98,
40d,2/24/1996,15.96,
40d,2/25/1996,15,
40d,2/26/1996,14.9,
40d,2/27/1996,14,
40d,2/28/1996,13.79,
40d,2/29/1996,13.07,
40d,3/1/1996,12.68,
40d,3/2/1996,12.3,
40d,3/3/1996,12.72,
40d,3/4/1996,12.89,
40d,3/5/1996,11.95,
40d,3/6/1996,11.95,
40d,3/7/1996,11,
40d,3/8/1996,11,
40d,3/9/1996,11,
40d,3/10/1996,11,
40d,3/11/1996,11,
40d,3/12/1996,10.72,
40d,3/13/1996,10,
40d,3/14/1996,10,
40d,3/15/1996,9.91,
40d,3/16/1996,9.79,
40d,3/17/1996,9.7,
40d,3/18/1996,9.5,
40d,3/19/1996,9.4,
40d,3/20/1996,9.47,
40d,3/21/1996,9.3,
40d,3/22/1996,9.48,
40d,3/23/1996,9.38,
40d,3/24/1996,9.25,
40d,3/25/1996,9.03,
40d,3/26/1996,8.92,
40d,3/27/1996,8.85,
40d,3/28/1996,8.8,
40d,3/29/1996,8.89,
40d,3/30/1996,8.8,
40d,3/31/1996,8.82,
40d,4/1/1996,9.28,
40d,4/2/1996,9.38,
40d,4/3/1996,9.38,
40d,4/4/1996,9.03,
40d,4/5/1996,8.99,
40d,4/6/1996,9.11,
40d,4/7/1996,9.05,
40d,4/8/1996,8.76,
40d,4/9/1996,8.61,
40d,4/10/1996,8.6,
40d,4/11/1996,8.76,
40d,4/12/1996,8.89,
40d,4/13/1996,8.79,
40d,4/14/1996,8.7,
40d,4/15/1996,8.79,
40d,4/16/1996,9.65,
40d,4/17/1996,9.28,
40d,4/18/1996,9.28,
40d,4/19/1996,9.35,
40d,4/20/1996,9.31,
40d,4/21/1996,9.22,
40d,4/22/1996,9.49,
40d,4/23/1996,13.71,
40d,4/24/1996,14.61,
40d,4/25/1996,13.05,
40d,4/26/1996,12.48,
40d,4/27/1996,12.25,
40d,4/28/1996,11,
40d,4/29/1996,11.07,
40d,4/30/1996,10.54,
40d,5/1/1996,10.54,
40d,5/2/1996,10.05,
40d,5/3/1996,10,
40d,5/4/1996,10.12,
40d,5/5/1996,9.91,
40d,5/6/1996,9.81,
40d,5/7/1996,9.7,
40d,5/8/1996,9.63,
40d,5/9/1996,9.49,
40d,5/10/1996,9.39,
40d,5/11/1996,9.6,
40d,5/12/1996,9.76,
40d,5/13/1996,11.16,
40d,5/14/1996,10.68,
40d,5/15/1996,10.24,
40d,5/16/1996,9.94,
40d,5/17/1996,10.06,
40d,5/18/1996,10.01,
40d,5/19/1996,9.98,
40d,5/20/1996,9.83,
40d,5/21/1996,9.6,
40d,5/22/1996,9.6,
40d,5/23/1996,9.42,
40d,5/24/1996,9.28,
40d,5/25/1996,9.21,
40d,5/26/1996,9.09,
40d,5/27/1996,8.99,
40d,5/28/1996,8.89,
40d,5/29/1996,8.92,
40d,5/30/1996,8.81,
40d,5/31/1996,8.73,
40d,6/1/1996,8.51,
40d,6/2/1996,8.36,
40d,6/3/1996,8.29,
40d,6/4/1996,8.27,
40d,6/5/1996,8.22,
40d,6/6/1996,8.14,
40d,6/7/1996,8.12,
40d,6/8/1996,8.05,
40d,6/9/1996,8,
40d,6/10/1996,7.9,
40d,6/11/1996,7.83,
40d,6/12/1996,7.83,
40d,6/13/1996,7.62,
40d,6/14/1996,7.56,
40d,6/15/1996,7.51,
40d,6/16/1996,7.48,
40d,6/17/1996,7.45,
40d,6/18/1996,7.48,
40d,6/19/1996,7.39,
40d,6/20/1996,7.33,
40d,6/21/1996,7.31,
40d,6/22/1996,7.26,
40d,6/23/1996,7.6,
40d,6/24/1996,7.56,
40d,6/25/1996,7.4,
40d,6/26/1996,7.29,
40d,6/27/1996,7.08,
40d,6/28/1996,7.01,
40d,6/29/1996,6.99,
40d,6/30/1996,6.96,
40d,7/1/1996,6.9,
40d,7/2/1996,6.85,
40d,7/3/1996,6.39,
40d,7/4/1996,6.95,
40d,7/5/1996,6.8,
40d,7/6/1996,6.74,
40d,7/7/1996,6.67,
40d,7/8/1996,6.84,
40d,7/9/1996,6.63,
40d,7/10/1996,6.59,
40d,7/11/1996,6.49,
40d,7/12/1996,6.4,
40d,7/13/1996,6.14,
40d,7/14/1996,6.04,
40d,7/15/1996,5.99,
40d,7/16/1996,6.01,
40d,7/17/1996,6.45,
40d,7/18/1996,6.34,
40d,7/19/1996,6.31,
40d,7/20/1996,6.13,
40d,7/21/1996,5.95,
40d,7/22/1996,5.91,
40d,7/23/1996,5.87,
40d,7/24/1996,5.8,
40d,7/25/1996,5.75,
40d,7/26/1996,5.68,
40d,7/27/1996,5.6,
40d,7/28/1996,5.54,
40d,7/29/1996,5.35,
40d,7/30/1996,5.23,
40d,7/31/1996,5.25,
40d,8/1/1996,5.23,
40d,8/2/1996,5.58,
40d,8/3/1996,5.5,
40d,8/4/1996,5.47,
40d,8/5/1996,5.28,
40d,8/6/1996,5.19,
40d,8/7/1996,5.14,
40d,8/8/1996,5.04,
40d,8/9/1996,5.05,
40d,8/10/1996,4.83,
40d,8/11/1996,4.8,
40d,8/12/1996,4.8,
40d,8/13/1996,4.8,
40d,8/14/1996,4.81,
40d,8/15/1996,4.8,
40d,8/16/1996,3.84,
40d,8/17/1996,3.56,
40d,8/18/1996,3.77,
40d,8/19/1996,4.14,
40d,8/20/1996,4.13,
40d,8/21/1996,4.2,
40d,8/22/1996,4.2,
40d,8/23/1996,4.21,
40d,8/24/1996,4.1,
40d,8/25/1996,4.32,
40d,8/26/1996,4.47,
40d,8/27/1996,4.5,
40d,8/28/1996,4.43,
40d,8/29/1996,4.44,
40d,8/30/1996,4.5,
40d,8/31/1996,4.5,
40d,9/1/1996,4.53,
40d,9/2/1996,4.51,
40d,9/3/1996,4.56,
40d,9/4/1996,4.57,
40d,9/5/1996,4.75,
40d,9/6/1996,4.69,
40d,9/7/1996,4.53,
40d,9/8/1996,4.56,
40d,9/9/1996,4.4,
40d,9/10/1996,4.36,
40d,9/11/1996,4.45,
40d,9/12/1996,4.64,
40d,9/13/1996,4.52,
40d,9/14/1996,4.64,
40d,9/15/1996,5.02,
40d,9/16/1996,4.75,
40d,9/17/1996,4.62,
40d,9/18/1996,4.61,
40d,9/19/1996,4.89,
40d,9/20/1996,4.79,
40d,9/21/1996,4.68,
40d,9/22/1996,4.58,
40d,9/23/1996,4.77,
40d,9/24/1996,5.02,
40d,9/25/1996,5.03,
40d,9/26/1996,4.83,
40d,9/27/1996,4.81,
40d,9/28/1996,4.81,
40d,9/29/1996,4.82,
40d,9/30/1996,4.81,
40d,10/1/1996,4.61,
40d,10/2/1996,4.5,
40d,10/3/1996,4.5,
40d,10/4/1996,4.28,
40d,10/5/1996,3.81,
40d,10/6/1996,3.34,
40d,10/7/1996,2.84,
40d,10/8/1996,2.88,
40d,10/9/1996,3.32,
40d,10/10/1996,4.28,
40d,10/11/1996,4.33,
40d,10/12/1996,4.22,
40d,10/13/1996,4.48,
40d,10/14/1996,4.46,
40d,10/15/1996,4.81,
40d,10/16/1996,4.75,
40d,10/17/1996,5.17,
40d,10/18/1996,5.72,
40d,10/19/1996,5.18,
40d,10/20/1996,4.81,
40d,10/21/1996,5.18,
40d,10/22/1996,5.71,
40d,10/23/1996,5.59,
40d,10/24/1996,5.88,
40d,10/25/1996,5.38,
40d,10/26/1996,5.33,
40d,10/27/1996,5.47,
40d,10/28/1996,6.37,
40d,10/29/1996,7.16,
40d,10/30/1996,6.64,
40d,10/31/1996,6.56,
40d,11/1/1996,7.51,
40d,11/2/1996,7.19,
40d,11/3/1996,7.18,
40d,11/4/1996,7.29,
40d,11/5/1996,7.18,
40d,11/6/1996,7.22,
40d,11/7/1996,7.27,
40d,11/8/1996,7.33,
40d,11/9/1996,7.13,
40d,11/10/1996,7.49,
40d,11/11/1996,7.7,
40d,11/12/1996,7.23,
40d,11/13/1996,7.71,
40d,11/14/1996,7.33,
40d,11/15/1996,7.16,
40d,11/16/1996,7.3,
40d,11/17/1996,7.33,
40d,11/18/1996,7.68,
40d,11/19/1996,8.21,
40d,11/20/1996,7.18,
40d,11/21/1996,6.72,
40d,11/22/1996,6.22,
40d,11/23/1996,5.94,
40d,11/24/1996,8.07,
40d,11/25/1996,10.06,
40d,11/26/1996,9.03,
40d,11/27/1996,11.32,
40d,11/28/1996,14.29,
40d,11/29/1996,11.33,
40d,11/30/1996,9.84,
40d,12/1/1996,9.68,
40d,12/2/1996,8.98,
40d,12/3/1996,8.65,
40d,12/4/1996,9.38,
40d,12/5/1996,10.34,
40d,12/6/1996,10.85,
40d,12/7/1996,10.5,
40d,12/8/1996,11.89,
40d,12/9/1996,11.66,
40d,12/10/1996,11,
40d,12/11/1996,10.43,
40d,12/12/1996,10.27,
40d,12/13/1996,9.94,
40d,12/14/1996,9.54,
40d,12/15/1996,9.36,
40d,12/16/1996,9.45,
40d,12/17/1996,9.2,
40d,12/18/1996,9.01,
40d,12/19/1996,8.82,
40d,12/20/1996,9.52,
40d,12/21/1996,9.7,
40d,12/22/1996,9.35,
40d,12/23/1996,9.49,
40d,12/24/1996,10.42,
40d,12/25/1996,12.36,
40d,12/26/1996,12.97,
40d,12/27/1996,15.23,
40d,12/28/1996,14.4,
40d,12/29/1996,22.45,
40d,12/30/1996,32.96,
40d,12/31/1996,33.08,
40d,1/1/1997,41.13,
40d,1/2/1997,42.5,
40d,1/3/1997,44.67,
40d,1/4/1997,32.79,
40d,1/5/1997,28.33,
40d,1/6/1997,25.22,
40d,1/7/1997,22.9,
40d,1/8/1997,20.46,
40d,1/9/1997,19.57,
40d,1/10/1997,18.46,
40d,1/11/1997,17.25,
40d,1/12/1997,18.06,
40d,1/13/1997,18.99,
40d,1/14/1997,18.08,
40d,1/15/1997,17.75,
40d,1/16/1997,17.31,
40d,1/17/1997,21.41,
40d,1/18/1997,21.58,
40d,1/19/1997,20.34,
40d,1/20/1997,21.67,
40d,1/21/1997,21.08,
40d,1/22/1997,20.02,
40d,1/23/1997,19.14,
40d,1/24/1997,18.23,
40d,1/25/1997,18,
40d,1/26/1997,17.25,
40d,1/27/1997,17.16,
40d,1/28/1997,17.27,
40d,1/29/1997,17,
40d,1/30/1997,18.56,
40d,1/31/1997,18.16,
40d,2/1/1997,19.79,
40d,2/2/1997,19.05,
40d,2/3/1997,18.36,
40d,2/4/1997,17.93,
40d,2/5/1997,17.18,
40d,2/6/1997,16.03,
40d,2/7/1997,15.93,
40d,2/8/1997,15.28,
40d,2/9/1997,15,
40d,2/10/1997,15,
40d,2/11/1997,15.03,
40d,2/12/1997,15,
40d,2/13/1997,14.32,
40d,2/14/1997,14.85,
40d,2/15/1997,15,
40d,2/16/1997,14.98,
40d,2/17/1997,14.23,
40d,2/18/1997,14.28,
40d,2/19/1997,16.88,
40d,2/20/1997,15.86,
40d,2/21/1997,15,
40d,2/22/1997,15,
40d,2/23/1997,14.08,
40d,2/24/1997,13.91,
40d,2/25/1997,13.08,
40d,2/26/1997,13.42,
40d,2/27/1997,13.74,
40d,2/28/1997,13,
40d,3/1/1997,14.3,
40d,3/2/1997,14.52,
40d,3/3/1997,14.22,
40d,3/4/1997,14.02,
40d,3/5/1997,13.79,
40d,3/6/1997,14.46,
40d,3/7/1997,15.81,
40d,3/8/1997,15,
40d,3/9/1997,15.75,
40d,3/10/1997,15.47,
40d,3/11/1997,15.02,
40d,3/12/1997,15.18,
40d,3/13/1997,15,
40d,3/14/1997,14.52,
40d,3/15/1997,16,
40d,3/16/1997,16.16,
40d,3/17/1997,15.94,
40d,3/18/1997,16.72,
